2023-08-18 06:47:57,364 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-18 06:47:57,998 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:47:57,998 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:57,998 INFO  c.c.e.component.MariaDBAppender - [getlog]Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:47:58,190 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] set log
2023-08-18 06:47:58,190 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:58,190 INFO  c.c.e.component.MariaDBAppender - [getlog][MariaDBAppender] set log
2023-08-18 06:47:58,673 INFO  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-18 06:47:58,674 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:58,674 INFO  c.c.e.component.MariaDBAppender - [getlog]Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-18 06:47:58,919 INFO  c.c.e.config.CorsConfig - ===== CorsFilter 적용 =====
2023-08-18 06:47:58,919 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:58,919 INFO  c.c.e.component.MariaDBAppender - [getlog]===== CorsFilter 적용 =====
2023-08-18 06:47:58,948 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-18 06:47:58,948 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:58,948 INFO  c.c.e.component.MariaDBAppender - [getlog]spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
